Posição,Número,Nome,Nacionalidade,Altura,Nascimento,Team,Valor de Mercado,player_id
Forward,9,Everaldo,BRA,181.0,05/07/1991,Fluminense,0.435,https://www.sofascore.com/football/player/everaldo/386212
Forward,18,Lelê,BRA,189.0,01/10/1997,Fluminense,1.0,https://www.sofascore.com/football/player/lele/1173457
Midfielder,7,Yeferson Soteldo,VEN,160.0,30/06/1997,Fluminense,3.7,https://www.sofascore.com/football/player/yeferson-soteldo/789960
Midfielder,8,Matheus Martinelli,BRA,176.0,05/10/2001,Fluminense,14.4,https://www.sofascore.com/football/player/martinelli-matheus/1067671
Midfielder,10,Ganso,BRA,184.0,12/10/1989,Fluminense,0.335,https://www.sofascore.com/football/player/ganso/116853
Midfielder,90,Kevin Serna,COL,181.0,22/12/1997,Fluminense,5.2,https://www.sofascore.com/football/player/serna-kevin/981374
Midfielder,32,Luciano Acosta,ARG,160.0,31/05/1994,Fluminense,4.8,https://www.sofascore.com/football/player/luciano-acosta/548030
Midfielder,35,Hércules,BRA,178.0,20/10/2000,Fluminense,12.4,https://www.sofascore.com/football/player/hercules/1104068
Midfielder,17,Agustín Canobbio,URU,175.0,01/10/1998,Fluminense,6.2,https://www.sofascore.com/football/player/agustin-canobbio/846413
Midfielder,11,Keno,BRA,174.0,10/09/1989,Fluminense,0.39,https://www.sofascore.com/football/player/keno/787607
Midfielder,5,Facundo Bernal,URU,187.0,21/08/2003,Fluminense,5.8,https://www.sofascore.com/football/player/bernal-facundo/1177404
Midfielder,16,Nonato,BRA,174.0,03/03/1998,Fluminense,1.1,https://www.sofascore.com/football/player/nonato/922566
Midfielder,45,Lima,BRA,181.0,11/06/1996,Fluminense,2.3,https://www.sofascore.com/football/player/lima/807850
Midfielder,19,Rubén Lezcano,PAR,175.0,09/02/2004,Fluminense,3.4,https://www.sofascore.com/football/player/ruben-lezcano/1393308
Midfielder,94,Otávio,BRA,173.0,04/05/1994,Fluminense,1.9,https://www.sofascore.com/football/player/otavio/552686
